argument,temporal_label,ML_4_features,ML_text_svm,ML_text_logistic,label,year,quarter,,
This is really about seeing improvement in some of our largest services and continue to see improvement year-over-year in the largest services. There were not any one-time benefits in this quarter that helped us.,0,0,0,0,1,2019,Q4,,Same
"So in the first half of the year, we have a tougher comp, if you will, versus some strong growth in the first-half of last year. On AWS revenue let me just remind you that quarterly growth last year on an FX-neutral basis so Q1 was 48% then 49% then 46% and 46%.",2,2,1,1,1,2019,Q1,text,Different
"And Heather, I would add that when you're using systems to look at content, when you're using AI machine learning systems, it's a real benefit to have actual people looking and tagging that content, classifying it because it helps those machine learning algorithms be able to learn what theyre looking at.",0,0,0,0,0,2019,Q3,,Same
I think it was about GDPR and how that's gone relative to expectations. Weve seen adoptions around people who are opting out of allowing us to use context from the apps.,0,0,0,0,0,2019,Q3,,Same
"But really, I think the focus that we have here is how we can best execute no matter what the macro environment turns out to be, focus on our own execution, focus on continue to drive cloud services, focus on continue to drive annuity mix. Those movements actually and as we help customers transform its really the best plan in the face of any uncertainty which youre clearly asking me about. But I tend to probably focus more on what we can control versus the external environment and how we can best react to that.",0,0,0,0,0,2016,Q2,,Same
"And I talk about AWS revenue, again, we're – we are accelerating. Weve accelerated for the last two quarters. The FX-neutral growth was 48% in Q1 up from 44% on the same basis in Q4 and 42% in Q3. And now nearly a $22 billion run rate.",2,2,2,2,2,2018,Q1,,Same
"And then secondly in some markets as I had talked about in my prepared remarks, the subsidy is probably the bigger of the issues in the developed markets. I had mentioned Japan but also even in this country even though the subsidy has gone away for a period of time. If youre a customer that your last purchase was a 6s or 6 or in some cases even a 7 you may have paid $199 for – and now in an unbundled world its obviously much more than that.",0,0,0,0,0,2019,Q1,,Same
And so the growth is actually quite good underneath that and that’s obviously a problem with everyone struggling with it. You have to consider the constant currency growth rates. And so if you do that our guidance is actually 8% to 11% because we have about a 700 basis point FX headwind in Q1.,1,2,2,0,0,2015,Q4,text,Same
"There are -- it touches on a number of different parts of our business in terms of how we recognize revenue in terms of any aggregate, the impacts to our expectations for the revenue guidance for the first quarter. We did adopt a new standard in January 1 of this year 2018 and youll see that reflected in our financials for the first quarter coming up. Theres a number of different areas at least that weve called out in our filings with the 10-Q in the past and the 10-K that will be on file shortly that talk about the different areas that are impacted us.",0,0,2,0,1,2017,Q4,,Same
"And so I think while I do understand that people will ask a lot about that price competition at the lower level, I think what you're seeing is because were able to continue to move people up the stack including all the way up to the business process layer I think youll continue to see us be confident in our ability to move and create margin and growth.",0,0,0,0,0,2017,Q3,,Same
"So we didn't get any benefit in our P&L, in our margins, during the March quarter, and we're not getting any benefit during the June quarter either. On Qualcomm I just want to make it very very clear that we are accruing. We do not expect to be paying more than what we are accruing right now.",0,0,2,2,1,2017,Q2,,Different
"And so when we look at all these things in its totality, we think that for the total company of course, we believe that revenue's going to grow. Youre right weve got an extra few days. You know very well the launch timing is different. You know that we increased iPhone channel inventory by 3.3 million units a year ago. I mentioned two issues that affect us the one-timer from a year ago that you obviously need to exclude from the compare and the FX that is the reality of our business right now.",0,0,1,1,0,2016,Q4,rule,Different
"So, yeah, you will see more expansion from us. And on Whole Foods yes I believe the total is 465 stores or thereabouts. And we have 12 bookstores now. We are adding a few more in the near future in California Washington DC and Austin.",0,0,0,0,0,2017,Q3,,Same
I think a lot of it is that we're getting better and better at ranking and showing people the content they want. And part of it is that theres of course a bigger opportunity when people have their phones with them all the time but I think that there are plenty of other worlds that we could be living in where we wouldnt have necessarily executed on that opportunity. And the execution is hard right? And just kind of having something thats appealing universally to people wanting to stay connected with their friends thats an important piece of it.,0,0,0,0,0,2015,Q2,,Same
Our revenue growth during Q1 would have been four percentage points higher on a constant currency basis. Obviously what we’ve seen during Q1 has been unprecedented movements in currencies. I would say during the course of the quarter the biggest impact came from the Japanese yen the Russian rubel but also from euro Australian dollar Canadian dollar.,2,2,2,2,2,2015,Q1,,Same
"This quarter we launched Canvas ads, which are very fast-loading, immersive mobile ads. Theyre easy to build. You can use the self-service tool. You dont have to write any code. They are native format so they decrease that initial drop-off you see when people click off to another site. Its very early days but the average viewing time is over 30 seconds,",0,0,0,0,2,2016,Q1,,Same
"But we feel fantastic, particularly as it pertains to iPhone X. In Urban China and the U.S. the top five smartphones last quarter were all iPhones. And in Japan and the UK six of the top seven were iPhones.",0,0,1,2,2,2018,Q1,text,Same
"So we're still very pleased again with the international business, continue to invest in Prime benefits, international expansion as I just mentioned, and we're still seeing very good pickup. But I also point out that we launched Turkey in the quarter and now we have 17 Amazon websites globally.",0,0,0,0,2,2018,Q3,,Same
I expect our overall Pro business to remain in line with business PCs. Once we work through sort of the end of XP bump that really should be in the line.,0,0,0,0,0,2016,Q1,,Same
"And certainly if you go outside of China into the other emerging markets, our share is much lower and the LTE penetration is so low, I mean in some cases, it's zero, that it indicates to me that there's still a lot of people, a tremendous number of people in the world, that will buy smartphones and we ought to be able to win over our fair share of those. For example almost half of the iPhones that we sold in China last quarter were to people who were buying their first iPhone.",0,0,0,0,2,2016,Q1,,Same
"I think with Office 365, we are trying to expand the appeal of Office 365 on multiple dimensions. A lot of what we are still seeing in play is the rapid adoption or the increased adoption of Office 365 E3 which is what I think is driving a lot of the growth the ASP growth. Now we have a good start with what is at the high end of the enterprise value which is E5 some of the value we have. Whether its voice or analytics and security it resonates. And were learning were improving and were pushing forward on that front. At the same time were also introducing new SKUs for the front-line worker. This is one of the other first-time trends Im seeing where CEOs are more interested in productivity of their front-line workers and so thats another exciting space. It comes at a different ASP point so its not exactly the same as E5 but very important for us strategically to be able to increase the appeal of Office 365. We also are working to make Office 365 and seeing good traction in segments like small business. The other aspect of Office 365 which is important for us is the international element because we really never had very high penetration of our higher-end service SKUs in the international markets. And we finally get to do that with the service offering. So those are all the areas.",0,0,0,0,0,2017,Q3,,Same
"And at the time of course in some way we considered Instagram to be a competitor, but we've always thought that the better way to target -- to think about Instagram was that it's complementary to Facebook and what we're doing. We thought about Instagram in the context of this new mobile camera space that was complementary. If you remember back then we were building the Facebook camera app.",0,0,0,0,0,2019,Q3,,Same
"So it wasn't a material impact on the quarter, but we're excited, really excited to start working with the management team there. The deal closed in September. Theyre very strong. Theyve done a great job building a highly differentiated customer experience just customer-centric like we are.",0,0,0,0,2,2018,Q3,,Same
"And so as I look at that number, that suggests there’s plenty of upgrade headroom in addition to we want to keep inviting over as many switchers as we can. Our current estimate is that about 20% of the active installed base has upgraded to a 6 or 6 plus.",0,0,0,0,0,2015,Q2,,Same
There's a lot of movement of tech head count. And so there was less external hiring in the first half of this year.,0,0,1,1,1,2018,Q2,text,Different
"We try to make it very easy for businesses to promote pages, promote posts and the like. And then of course ads weve got 60 million businesses with pages. They manage those pages and then they can promote those pages via our easy-to-use ad products. So thats an important on-ramp to mobile advertising for a number of businesses around the world.",0,0,0,0,0,2016,Q3,,Same
"And so I actually feel quite good with that outperformance and our ability to see that outperformance fall to the bottom line through stronger executional gross margin percentage, particularly in that segment. We outperformed significantly in both those products in Q4 and that took us a little bit outside the COGS range but not as much as our revenue outperformed. So actually margins structurally were better than I thought they would be. Because of the performance in Xbox and in Surface youre right it is a hardware mix shift a bit.",2,2,2,2,2,2015,Q4,,Same
"So I think the first half of the year could be a good test of where our cost structure is, coming off of the investment that leads up to the holiday. Last year there was a lot of first half investment. If you look back on infrastructure and fixed head count that may be made that less pronounced.",0,0,1,1,1,2018,Q2,text,Different
"And to your question about long form content, the more natural starting point for us is shorter form content which can either be social content or premium short form content. But some of – the vast majority of the content thats consumed on Facebook just talking about video right now is people browsing through feed. They discover something interesting that they werent necessarily looking for previously thats very powerful because thats a behavior that there isnt really anywhere else to do at scale on the Internet today in a great way and then people watch it there or they bookmark it to watch later.",0,0,0,0,0,2015,Q3,,Same
