Unnamed: 0,claim_text,premise_texts,year,quarter,label,argument,temporal_label,,,,,
135,Now the biggest trend that we see in consumer behavior is definitely video.,And theres a strong technological underpinning for that which is that if you go back five years and you tried to watch a video on your phone it would probably have to buffer for a minute or so before youd actually get to watch it which wasnt a good experience. And if you wanted to upload a video whether it was a longer video like what youd post to News Feed or a 10-second story like what youd post in any of the apps even that might take 30 seconds to upload so it wasnt a good experience. So now as the technology on the network level improves to support that what were seeing is the ability to serve what is a large amount of demand for whats a very engaging type of content. And that demand flows across social content like were seeing in Stories and Feed to clearly a huge amount of public content. Pages are engaging in this and some of the trends that Dave just talked about for just a lot of video behavior across the platform.,2017,Q2,0,Now the biggest trend that we see in consumer behavior is definitely video. And theres a strong technological underpinning for that which is that if you go back five years and you tried to watch a video on your phone it would probably have to buffer for a minute or so before youd actually get to watch it which wasnt a good experience. And if you wanted to upload a video whether it was a longer video like what youd post to News Feed or a 10-second story like what youd post in any of the apps even that might take 30 seconds to upload so it wasnt a good experience. So now as the technology on the network level improves to support that what were seeing is the ability to serve what is a large amount of demand for whats a very engaging type of content. And that demand flows across social content like were seeing in Stories and Feed to clearly a huge amount of public content. Pages are engaging in this and some of the trends that Dave just talked about for just a lot of video behavior across the platform.,0,Correct,,,,218
1360,They're obviously both critical platforms.,Both have over 1.2 million monthly actives. And WhatsApp has demonstrated significant engagement with crossing 1 billion daily actives.,2017,Q2,0,They're obviously both critical platforms. Both have over 1.2 million monthly actives. And WhatsApp has demonstrated significant engagement with crossing 1 billion daily actives.,0,Correct,,,,
2082,"So, a combination of being able to understand the text that people message, read the articles that people would want to look at, watch the videos, look at the photos, are going to be great, too.",And similarly we want to be able look at a video and watch it and understand whether thats something that youre going to be interested in. But theres no reason that we shouldnt be able to match you up with any of the millions of pieces of content that you might be interested in that gets shared on Facebook every day except for the fact that we dont have the AI technology to know what those are about and if they match your interest today. And you can imagine that today we consider putting things in your News Feed that youre connected to in some way right that are from a friend or a page that youre following or that one of your friends likes.,2016,Q4,0,"So, a combination of being able to understand the text that people message, read the articles that people would want to look at, watch the videos, look at the photos, are going to be great, too. And similarly we want to be able look at a video and watch it and understand whether thats something that youre going to be interested in. But theres no reason that we shouldnt be able to match you up with any of the millions of pieces of content that you might be interested in that gets shared on Facebook every day except for the fact that we dont have the AI technology to know what those are about and if they match your interest today. And you can imagine that today we consider putting things in your News Feed that youre connected to in some way right that are from a friend or a page that youre following or that one of your friends likes.",0,Correct,,,,
1805,We have in China currently a set of geopolitical issues that we are working through.,Were very committed to China as a market. We have in fact pockets of good growth in China with our cloud doing fairly well but at the same time were grounded that in the fact that we need more work to do and were working through them and then as and when they will work out we will let you know.,2015,Q2,0,We have in China currently a set of geopolitical issues that we are working through. Were very committed to China as a market. We have in fact pockets of good growth in China with our cloud doing fairly well but at the same time were grounded that in the fact that we need more work to do and were working through them and then as and when they will work out we will let you know.,0,Correct,,,,
1803,"So that's the opportunity we see, whether it's -- for all front line, whether it's in manufacturing, whether it's in retail, whether it's in healthcare.",So in other words it can be -- start with Teams. It can start with some of our devices in the first-line worker. For example one of the things that we see the most traction for HoloLens is with first-line workers. People in manufacturing and other in field service where they were never issued a standard laptop or even a phone are being issued a HoloLens as their first computing device and thats just because of the productivity it drives.,2019,Q2,0,"So that's the opportunity we see, whether it's -- for all front line, whether it's in manufacturing, whether it's in retail, whether it's in healthcare. So in other words it can be -- start with Teams. It can start with some of our devices in the first-line worker. For example one of the things that we see the most traction for HoloLens is with first-line workers. People in manufacturing and other in field service where they were never issued a standard laptop or even a phone are being issued a HoloLens as their first computing device and thats just because of the productivity it drives.",0,Correct,,,,
1127,So those are the natural places where you'll see us gain more developers and gain more traction.,And as you can imagine our share is today in desktops in emerging in tablets in 2-in-1 and of course now with Xbox as well which is you know got great attraction to gaming developers. We are big believers in a unified developer platform and a unified Store and then as Windows 10 monthly active devices increases and the Store usage increases well see more and more developers take advantage of it. In my opening commentary I talked a little bit about both the increased visits to the Store and transactions as well as the fact that we are attracting new applications from developers like Netflix to Wall Street Journal to others.,2016,Q2,0,So those are the natural places where you'll see us gain more developers and gain more traction. And as you can imagine our share is today in desktops in emerging in tablets in 2-in-1 and of course now with Xbox as well which is you know got great attraction to gaming developers. We are big believers in a unified developer platform and a unified Store and then as Windows 10 monthly active devices increases and the Store usage increases well see more and more developers take advantage of it. In my opening commentary I talked a little bit about both the increased visits to the Store and transactions as well as the fact that we are attracting new applications from developers like Netflix to Wall Street Journal to others.,0,Correct,,,,
953,So that was another influence in Q2.,But the 51% year-over-year is also – its a combination of the hiring weve done but also an adjustment we made to our estimated forfeiture rate. Were seeing less forfeitures which is a great sign for our employee retention but you have to make adjustments to your reserves as you see that.,2017,Q2,2,So that was another influence in Q2. But the 51% year-over-year is also – its a combination of the hiring weve done but also an adjustment we made to our estimated forfeiture rate. Were seeing less forfeitures which is a great sign for our employee retention but you have to make adjustments to your reserves as you see that.,2,Correct,,,,
744,so it's going to have a different margin profile than core Facebook News Feed from an expense profile perspective.,"On the content front were looking at investing in kick-starting an ecosystem for longer-form content on Facebook and that involves us working with content providers to develop that content. In the long run we expect to see a revenue share model on the platform. And obviously were going to be in an area where were sharing revenue with content providers,",2017,Q1,0,"so it's going to have a different margin profile than core Facebook News Feed from an expense profile perspective. On the content front were looking at investing in kick-starting an ecosystem for longer-form content on Facebook and that involves us working with content providers to develop that content. In the long run we expect to see a revenue share model on the platform. And obviously were going to be in an area where were sharing revenue with content providers,",0,Correct,,,,
1564,And so we think that in the aggregate that they may reduce upgrade cycles and also the iPhone that has been sold to someone else hits the price point that we're not hitting today largely which could help further fuel the services revenue which we did quite well on last quarter.,I would also point out that some of these upgrade programs that are in the market they sort of began to look more like a subscription business in terms of the way they operate.,2015,Q4,0,And so we think that in the aggregate that they may reduce upgrade cycles and also the iPhone that has been sold to someone else hits the price point that we're not hitting today largely which could help further fuel the services revenue which we did quite well on last quarter. I would also point out that some of these upgrade programs that are in the market they sort of began to look more like a subscription business in terms of the way they operate.,0,Correct,,,,
1418,There are other investments certainly that are increasing sequentially.,Id point to India and AWS but primarily the two biggest issues in Q3 guidance I would say are the operational ramp and also the increase in digital content spend,2016,Q2,1,There are other investments certainly that are increasing sequentially. Id point to India and AWS but primarily the two biggest issues in Q3 guidance I would say are the operational ramp and also the increase in digital content spend,1,Correct,,,,
